k,diag_k
0,1.00000000000000044e+00
1,5.00000000000000222e-01
2,5.00000000000000222e-01
3,5.00000000000000222e-01
4,5.00000000000000222e-01
5,-2.08166817117216851e-16
6,-2.08166817117216851e-16
7,-2.08166817117216851e-16
8,-2.08166817117216851e-16
9,-2.08166817117216851e-16
10,-2.08166817117216851e-16
11,-2.08166817117216851e-16
12,-2.08166817117216851e-16
13,5.00000000000000222e-01
14,5.00000000000000222e-01
15,5.00000000000000222e-01
16,5.00000000000000222e-01
17,-2.08166817117216851e-16
18,-2.08166817117216851e-16
19,-2.08166817117216851e-16
20,-2.08166817117216851e-16
21,-2.08166817117216851e-16
22,-2.08166817117216851e-16
23,-2.08166817117216851e-16
24,-2.08166817117216851e-16
25,1.00000000000000044e+00
26,5.00000000000000222e-01
27,5.00000000000000222e-01
28,-2.08166817117216851e-16
29,-2.08166817117216851e-16
30,-2.08166817117216851e-16
31,-2.08166817117216851e-16
32,-2.08166817117216851e-16
33,-2.08166817117216851e-16
34,-2.08166817117216851e-16
35,-2.08166817117216851e-16
36,5.00000000000000222e-01
37,5.00000000000000222e-01
38,-2.08166817117216851e-16
39,-2.08166817117216851e-16
40,-2.08166817117216851e-16
41,-2.08166817117216851e-16
42,-2.08166817117216851e-16
43,-2.08166817117216851e-16
44,-2.08166817117216851e-16
45,-2.08166817117216851e-16
46,1.00000000000000044e+00
47,-2.08166817117216851e-16
48,-2.08166817117216851e-16
49,-2.08166817117216851e-16
50,-2.08166817117216851e-16
51,-2.08166817117216851e-16
52,-2.08166817117216851e-16
53,-2.08166817117216851e-16
54,-2.08166817117216851e-16
55,-2.08166817117216851e-16
56,-2.08166817117216851e-16
57,-2.08166817117216851e-16
58,-2.08166817117216851e-16
59,-2.08166817117216851e-16
60,-2.08166817117216851e-16
61,-2.08166817117216851e-16
62,-2.08166817117216851e-16
63,1.00000000000000044e+00
64,1.00000000000000044e+00
65,1.00000000000000044e+00
66,1.00000000000000044e+00
67,1.00000000000000044e+00
68,1.00000000000000044e+00
69,1.00000000000000044e+00
70,1.00000000000000044e+00
71,1.00000000000000044e+00
72,1.00000000000000044e+00
73,1.00000000000000044e+00
74,1.00000000000000044e+00
75,1.00000000000000044e+00
76,1.00000000000000044e+00
77,1.00000000000000044e+00
78,1.00000000000000044e+00
79,1.00000000000000044e+00
80,1.00000000000000044e+00
81,1.00000000000000044e+00
82,1.00000000000000044e+00
83,1.00000000000000044e+00
84,1.00000000000000044e+00
85,1.00000000000000044e+00
86,1.00000000000000044e+00
87,1.00000000000000044e+00
88,1.00000000000000044e+00
89,1.00000000000000044e+00
90,1.00000000000000044e+00
91,5.00000000000000222e-01
92,5.00000000000000222e-01
93,5.00000000000000222e-01
94,5.00000000000000222e-01
95,-2.08166817117216851e-16
96,-2.08166817117216851e-16
97,-2.08166817117216851e-16
98,-2.08166817117216851e-16
99,-2.08166817117216851e-16
100,-2.08166817117216851e-16
101,-2.08166817117216851e-16
102,-2.08166817117216851e-16
103,5.00000000000000222e-01
104,5.00000000000000000e-01
105,5.00000000000000000e-01
106,-1.66533453693773481e-16
107,-1.66533453693773481e-16
108,-1.66533453693773481e-16
109,-1.66533453693773481e-16
110,-1.66533453693773481e-16
111,-1.66533453693773481e-16
112,-1.66533453693773481e-16
113,-1.66533453693773481e-16
114,5.00000000000000000e-01
115,5.00000000000000000e-01
116,-1.66533453693773481e-16
117,-1.66533453693773481e-16
118,-1.66533453693773481e-16
119,-1.66533453693773481e-16
120,-1.66533453693773481e-16
121,-1.66533453693773481e-16
122,-1.66533453693773481e-16
123,-1.66533453693773481e-16
124,5.00000000000000222e-01
125,-1.66533453693773481e-16
126,-1.66533453693773481e-16
127,-1.66533453693773481e-16
128,-1.66533453693773481e-16
129,-1.66533453693773481e-16
130,-1.66533453693773481e-16
131,-1.66533453693773481e-16
132,-1.66533453693773481e-16
133,-1.66533453693773481e-16
134,-1.66533453693773481e-16
135,-1.66533453693773481e-16
136,-1.66533453693773481e-16
137,-1.66533453693773481e-16
138,-1.66533453693773481e-16
139,-1.66533453693773481e-16
140,-1.66533453693773481e-16
141,5.00000000000000222e-01
142,5.00000000000000222e-01
143,5.00000000000000222e-01
144,5.00000000000000222e-01
145,5.00000000000000222e-01
146,5.00000000000000222e-01
147,5.00000000000000222e-01
148,5.00000000000000222e-01
149,5.00000000000000222e-01
150,5.00000000000000222e-01
151,5.00000000000000222e-01
152,5.00000000000000222e-01
153,5.00000000000000222e-01
154,5.00000000000000222e-01
155,5.00000000000000222e-01
156,5.00000000000000222e-01
157,5.00000000000000222e-01
158,5.00000000000000222e-01
159,5.00000000000000222e-01
160,5.00000000000000222e-01
161,5.00000000000000222e-01
162,5.00000000000000222e-01
163,5.00000000000000222e-01
164,5.00000000000000222e-01
165,5.00000000000000222e-01
166,5.00000000000000222e-01
167,5.00000000000000222e-01
168,5.00000000000000222e-01
169,5.00000000000000222e-01
170,5.00000000000000000e-01
171,5.00000000000000000e-01
172,-1.66533453693773481e-16
173,-1.66533453693773481e-16
174,-1.66533453693773481e-16
175,-1.66533453693773481e-16
176,-1.66533453693773481e-16
177,-1.66533453693773481e-16
178,-1.66533453693773481e-16
179,-1.66533453693773481e-16
180,5.00000000000000000e-01
181,5.00000000000000000e-01
182,-1.66533453693773481e-16
183,-1.66533453693773481e-16
184,-1.66533453693773481e-16
185,-1.66533453693773481e-16
186,-1.66533453693773481e-16
187,-1.66533453693773481e-16
188,-1.66533453693773481e-16
189,-1.66533453693773481e-16
190,5.00000000000000222e-01
191,-1.66533453693773481e-16
192,-1.66533453693773481e-16
193,-1.66533453693773481e-16
194,-1.66533453693773481e-16
195,-1.66533453693773481e-16
196,-1.66533453693773481e-16
197,-1.66533453693773481e-16
198,-1.66533453693773481e-16
199,-1.66533453693773481e-16
200,-1.66533453693773481e-16
201,-1.66533453693773481e-16
202,-1.66533453693773481e-16
203,-1.66533453693773481e-16
204,-1.66533453693773481e-16
205,-1.66533453693773481e-16
206,-1.66533453693773481e-16
207,5.00000000000000222e-01
208,5.00000000000000222e-01
209,5.00000000000000222e-01
210,5.00000000000000222e-01
211,5.00000000000000222e-01
212,5.00000000000000222e-01
213,5.00000000000000222e-01
214,5.00000000000000222e-01
215,5.00000000000000222e-01
216,5.00000000000000222e-01
217,5.00000000000000222e-01
218,5.00000000000000222e-01
219,5.00000000000000222e-01
220,5.00000000000000222e-01
221,5.00000000000000222e-01
222,5.00000000000000222e-01
223,5.00000000000000222e-01
224,5.00000000000000222e-01
225,5.00000000000000222e-01
226,5.00000000000000222e-01
227,5.00000000000000222e-01
228,5.00000000000000222e-01
229,5.00000000000000222e-01
230,5.00000000000000222e-01
231,5.00000000000000222e-01
232,5.00000000000000222e-01
233,5.00000000000000222e-01
234,5.00000000000000222e-01
235,5.00000000000000222e-01
236,5.00000000000000222e-01
237,-2.08166817117216851e-16
238,-2.08166817117216851e-16
239,-2.08166817117216851e-16
240,-2.08166817117216851e-16
241,-2.08166817117216851e-16
242,-2.08166817117216851e-16
243,-2.08166817117216851e-16
244,-2.08166817117216851e-16
245,5.00000000000000222e-01
246,-1.66533453693773481e-16
247,-1.66533453693773481e-16
248,-1.66533453693773481e-16
249,-1.66533453693773481e-16
250,-1.66533453693773481e-16
251,-1.66533453693773481e-16
252,-1.66533453693773481e-16
253,-1.66533453693773481e-16
254,-1.66533453693773481e-16
255,-1.66533453693773481e-16
256,-1.66533453693773481e-16
257,-1.66533453693773481e-16
258,-1.66533453693773481e-16
259,-1.66533453693773481e-16
260,-1.66533453693773481e-16
261,-1.66533453693773481e-16
262,5.00000000000000222e-01
263,5.00000000000000222e-01
264,5.00000000000000222e-01
265,5.00000000000000222e-01
266,5.00000000000000222e-01
267,5.00000000000000222e-01
268,5.00000000000000222e-01
269,5.00000000000000222e-01
270,5.00000000000000222e-01
271,5.00000000000000222e-01
272,5.00000000000000222e-01
273,5.00000000000000222e-01
274,5.00000000000000222e-01
275,5.00000000000000222e-01
276,5.00000000000000222e-01
277,5.00000000000000222e-01
278,5.00000000000000222e-01
279,5.00000000000000222e-01
280,5.00000000000000222e-01
281,5.00000000000000222e-01
282,5.00000000000000222e-01
283,5.00000000000000222e-01
284,5.00000000000000222e-01
285,5.00000000000000222e-01
286,5.00000000000000222e-01
287,5.00000000000000222e-01
288,5.00000000000000222e-01
289,5.00000000000000222e-01
290,5.00000000000000222e-01
291,-1.66533453693773481e-16
292,-1.66533453693773481e-16
293,-1.66533453693773481e-16
294,-1.66533453693773481e-16
295,-1.66533453693773481e-16
296,-1.66533453693773481e-16
297,-1.66533453693773481e-16
298,-1.66533453693773481e-16
299,-1.66533453693773481e-16
300,-1.66533453693773481e-16
301,-1.66533453693773481e-16
302,-1.66533453693773481e-16
303,-1.66533453693773481e-16
304,-1.66533453693773481e-16
305,-1.66533453693773481e-16
306,-1.66533453693773481e-16
307,5.00000000000000222e-01
308,5.00000000000000222e-01
309,5.00000000000000222e-01
310,5.00000000000000222e-01
311,5.00000000000000222e-01
312,5.00000000000000222e-01
313,5.00000000000000222e-01
314,5.00000000000000222e-01
315,5.00000000000000222e-01
316,5.00000000000000222e-01
317,5.00000000000000222e-01
318,5.00000000000000222e-01
319,5.00000000000000222e-01
320,5.00000000000000222e-01
321,5.00000000000000222e-01
322,5.00000000000000222e-01
323,5.00000000000000222e-01
324,5.00000000000000222e-01
325,5.00000000000000222e-01
326,5.00000000000000222e-01
327,5.00000000000000222e-01
328,5.00000000000000222e-01
329,5.00000000000000222e-01
330,5.00000000000000222e-01
331,5.00000000000000222e-01
332,5.00000000000000222e-01
333,5.00000000000000222e-01
334,5.00000000000000222e-01
335,-2.08166817117216851e-16
336,-2.08166817117216851e-16
337,-2.08166817117216851e-16
338,-2.08166817117216851e-16
339,-2.08166817117216851e-16
340,-2.08166817117216851e-16
341,-2.08166817117216851e-16
342,-2.08166817117216851e-16
343,5.00000000000000222e-01
344,5.00000000000000222e-01
345,5.00000000000000222e-01
346,5.00000000000000222e-01
347,5.00000000000000222e-01
348,5.00000000000000222e-01
349,5.00000000000000222e-01
350,5.00000000000000222e-01
351,5.00000000000000222e-01
352,5.00000000000000222e-01
353,5.00000000000000222e-01
354,5.00000000000000222e-01
355,5.00000000000000222e-01
356,5.00000000000000222e-01
357,5.00000000000000222e-01
358,5.00000000000000222e-01
359,5.00000000000000222e-01
360,5.00000000000000222e-01
361,5.00000000000000222e-01
362,5.00000000000000222e-01
363,5.00000000000000222e-01
364,5.00000000000000222e-01
365,5.00000000000000222e-01
366,5.00000000000000222e-01
367,5.00000000000000222e-01
368,5.00000000000000222e-01
369,5.00000000000000222e-01
370,5.00000000000000222e-01
