labels,mult,orbit_size,contribution
0 0 0 0 0 0 1 0,1,6720,6720
1 0 0 0 0 0 0 0,7,2160,15120
0 0 0 0 0 0 0 1,35,240,8400
0 0 0 0 0 0 0 0,140,1,140
